"Species_name","Parvorder","Diel_Pattern_2","Diel_Pattern","New_Pattern","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf1.5","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf2N.1","Conf2N.2","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf3.6","Conf3.7","Conf3.8","Conf3ByS.1","Conf3ByS.2","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf4.6","Conf4.7","Conf4.8","Conf5.1","Conf5.2","Conf5.3","Conf5.4","Confidence","tips"
"Balaena mysticetus","Mysticeti","Cathemeral","cathemeral","cathemeral","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,4,4, 4","Balaena_mysticetus"
"Balaenoptera acutorostrata","Mysticeti","Nocturnal","nocturnal","cathemeral","",NA,NA,NA,NA,"diurnal/crepuscular"," diurnal",NA,NA,NA,"",NA,"nocturnal"," cathemeral",NA,NA,NA,NA,NA,NA,"diurnal",NA,"diurnal/cathemeral"," diurnal"," nocturnal/cathemeral",NA,NA,NA,NA,NA,"",NA,NA,NA,"3, 3, 4, 3, 4, 4, 2, 2","Balaenoptera_acutorostrata"
"Balaenoptera bonaerensis","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral"," nocturnal/cathemeral"," ",NA,NA,NA,"nocturnal",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,3,3,3, 4","Balaenoptera_bonaerensis"
"Balaenoptera borealis","Mysticeti","Cathemeral","cathemeral","cathemeral","",NA,NA,NA,NA,"unclear/diurnal",NA,NA,NA,NA,"",NA,"diurnal"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4,3,3,2","Balaenoptera_borealis"
"Balaenoptera brydei","Mysticeti","Nocturnal","nocturnal","nocturnal","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4,3,3","Balaenoptera_brydei"
"Balaenoptera edeni","Mysticeti","Diurnal","diurnal","diurnal","",NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"",NA,"cathemeral"," nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,"",NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4,3,2","Balaenoptera_edeni"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal"," nocturnal/crepuscular"," nocturnal/crepuscular"," nocturnal/crepuscular"," cathemeral"," ",NA,NA,"",NA,"cathemeral"," nocturnal"," cathemeral"," cathemeral",NA,NA,NA,NA,"",NA,NA,NA,"3,4,4,3,3,4,3,3","Balaenoptera_musculus"
"Balaenoptera omurai","Mysticeti","Cathemeral","cathemeral","cathemeral","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3","Balaenoptera_omurai"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","",NA,NA,NA,NA,"unclear/cathemeral",NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral"," nocturnal/crepuscular"," cathemeral",NA,NA,NA,"nocturnal",NA,"cathemeral"," cathemeral"," cathemeral"," cathemeral",NA,NA,NA,NA,"",NA,NA,NA,"3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus"
"Balaenoptera ricei","Mysticeti","Diurnal","diurnal","diurnal","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"diurnal"," diurnal",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4,4,3","Balaenoptera_ricei"
"Berardius arnuxii","Odontoceti","Cathemeral","cathemeral","unclear","unclear"," unclear"," unclear"," unclear"," unclear/diurnal","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"0.5,1,1,1,1","Berardius_arnuxii"
"Berardius bairdii","Odontoceti","Cathemeral","cathemeral","cathemeral","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"diurnal/cathemeral",NA,"cathemeral"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,4,4,3","Berardius_bairdii"
"Caperea marginata","Mysticeti","Nocturnal","nocturnal","cathemeral","unclear"," unclear"," unclear",NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1,1,1, 3","Caperea_marginata"
"Cephalorhynchus commersonii","Odontoceti","Diurnal","diurnal","","",NA,NA,NA,NA,"unclear"," cathemeral"," unclear"," unclear",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,"",NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,"5,2,2,3,2,2","Cephalorhynchus_commersonii"
"Cephalorhynchus eutropia","Odontoceti","Cathemeral","cathemeral","nocturnal/cathemeral","",NA,NA,NA,NA,"unclear"," unclear"," unclear/nocturnal",NA,NA,"",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,2,2,3","Cephalorhynchus_eutropia"
"Cephalorhynchus heavisidii","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","",NA,NA,NA,NA,"nocturnal"," nocturnal"," nocturnal",NA,NA,"",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,"nocturnal"," nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,4,3,4,2,2","Cephalorhynchus_heavisidii"
"Cephalorhynchus hectori","Odontoceti","Diurnal","diurnal","cathemeral","",NA,NA,NA,NA,"unclear"," unclear",NA,NA,NA,"",NA,"diurnal"," cathemeral"," diurnal"," cathemeral",NA,NA,NA,NA,"",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4,2,3,3,3,3,2","Cephalorhynchus_hectori"
"Delphinapterus leucas","Odontoceti","Diurnal","diurnal","diurnal/cathemeral","diurnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"cathemeral"," diurnal/cathemeral"," nocturnal",NA,NA,NA,NA,NA,"diurnal"," cathemeral",NA,NA,"3,5,1,4,4,4, 5","Delphinapterus_leucas"
"Delphinus delphis","Odontoceti","Nocturnal","nocturnal","nocturnal","",NA,NA,NA,NA,"unclear"," unclear",NA,NA,NA,"",NA,"nocturnal"," nocturnal"," nocturnal",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,2,3,2,3","Delphinus_delphis"
"Eschrichtius robustus","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,"",NA,"nocturnal"," cathemeral/crepuscular"," nocturnal/cathemeral",NA,NA,NA,NA,NA,"",NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,"3,3,2,3,5,5,4","Eschrichtius_robustus"
"Eubalaena australis","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","",NA,NA,NA,NA,"unclear/crepuscular"," unclear"," diurnal"," unclear",NA,"",NA,"cathemeral"," nocturnal/crepuscular"," nocturnal/crepuscular",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,3,3, 2, 2, 3, 2","Eubalaena_australis"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","nocturnal/crepuscular",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal/cathemeral"," nocturnal/crepuscular"," nocturnal/crepuscular"," cathemeral/crepuscular"," nocturnal"," cathemeral/crepuscular"," nocturnal",NA,"",NA,"cathemeral"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4,3, 3, 1, 4, 3, 3, 3, 3, 3","Eubalaena_glacialis"
"Eubalaena japonica","Mysticeti","Nocturnal","nocturnal","diurnal","",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal"," nocturnal/crepuscular",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,2, 2, 3","Eubalaena_japonica"
"Feresa attenuata","Odontoceti","Nocturnal","nocturnal","nocturnal","nocturnal",NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4, 1, 2","Feresa_attenuata"
"Globicephala macrorhynchus","Odontoceti","Nocturnal/crepuscular","crepuscular","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal"," nocturnal"," nocturnal"," nocturnal",NA,NA,NA,"",NA,NA,NA,"4,4,3,4,4,3,4","Globicephala_macrorhynchus"
"Globicephala melas","Odontoceti","Nocturnal","nocturnal","","",NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4,4,3,2","Globicephala_melas"
"Grampus griseus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal","",NA,NA,NA,NA,"unclear"," nocturnal"," nocturnal",NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,2,4 2,2,3,3,3,4","Grampus_griseus"
"Hyperoodon ampullatus","Odontoceti","Cathemeral","cathemeral","cathemeral","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,4,4","Hyperoodon_ampullatus"
"Hyperoodon planifrons","Odontoceti","Diurnal/crepuscular","crepuscular","diurnal/crepuscular","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal"," diurnal/crepuscular",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3","Hyperoodon_planifrons"
"Indopacetus pacificus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3","Indopacetus_pacificus"
"Inia boliviensis","Odontoceti","Nocturnal","nocturnal","unclear","unclear/nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","Inia_boliviensis"
"Inia geoffrensis","Odontoceti","Cathemeral","cathemeral","","",NA,NA,NA,NA,"unclear/nocturnal",NA,NA,NA,NA,"",NA,"diurnal"," nocturnal/cathemeral"," cathemeral"," ",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,"3,3,3,5,2","Inia_geoffrensis"
"Inia humboldtiana","Odontoceti","Nocturnal","nocturnal","unclear","unclear/nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","Inia_humboldtiana"
"Kogia breviceps","Odontoceti","Nocturnal/crepuscular","crepuscular","","unclear"," nocturnal",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," nocturnal/crepuscular"," cathemeral",NA,NA,NA,NA,NA,"",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,1,1,4,3,3","Kogia_breviceps"
"Kogia sima","Odontoceti","Nocturnal/crepuscular","crepuscular","","unclear",NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,"",NA,"cathemeral"," nocturnal/crepuscular"," cathemeral",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,2,1,3,3","Kogia_sima"
"Lagenodelphis hosei","Odontoceti","Nocturnal","nocturnal","nocturnal","unclear/nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1,3","Lagenodelphis_hosei"
"Lagenorhynchus acutus","Odontoceti","Nocturnal","nocturnal","","",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,3","Lagenorhynchus_acutus"
"Lagenorhynchus albirostris","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","",NA,NA,NA,NA,"unclear",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,4","Lagenorhynchus_albirostris"
"Lagenorhynchus australis","Odontoceti","Nocturnal","nocturnal","unclear","unclear",NA,NA,NA,NA,"unclear"," unclear"," unclear"," unclear",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2, 2, 2, 1, 2","Lagenorhynchus_australis"
"Lagenorhynchus obliquidens","Odontoceti","Nocturnal/crepuscular","crepuscular","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," cathemeral"," nocturnal",NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,"",NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,"3,5,3,3,3","Lagenorhynchus_obliquidens"
