"","Species_name","Alt_name.notes","Genome","Assembly","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel.Pattern","Confidence","Parvorder","tips"
"Balaena_mysticetus","Balaena mysticetus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,4","Mysticeti","Balaena_mysticetus"
"Balaenoptera_acutorostrata","Balaenoptera acutorostrata","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 3","Mysticeti","Balaenoptera_acutorostrata"
"Balaenoptera_bonaerensis","Balaenoptera bonaerensis","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,3,3,3","Mysticeti","Balaenoptera_bonaerensis"
"Balaenoptera_borealis","Balaenoptera borealis","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,3,3,2","Mysticeti","Balaenoptera_borealis"
"Balaenoptera_brydei","Balaenoptera brydei","Not in mam tree",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,3,3","Mysticeti","Balaenoptera_brydei"
"Balaenoptera_edeni","Balaenoptera edeni","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","4,3,2","Mysticeti","Balaenoptera_edeni"
"Balaenoptera_musculus","Balaenoptera musculus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,4,4,3,3,4,3,3","Mysticeti","Balaenoptera_musculus"
"Balaenoptera_omurai","Balaenoptera omurai","Limited data, recently decribed as own sps",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,3","Mysticeti","Balaenoptera_omurai"
"Balaenoptera_physalus","Balaenoptera physalus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,4,3,3,3,2,3,3","Mysticeti","Balaenoptera_physalus"
"Balaenoptera_ricei","Balaenoptera ricei","Not in mam tree","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","4,4,3","Mysticeti","Balaenoptera_ricei"
"Berardius_arnuxii","Berardius arnuxii","Limited data",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","0.5, 2, 1.5, 1.5, 2","Odontoceti","Berardius_arnuxii"
"Berardius_bairdii","Berardius bairdii","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,4,4,3","Odontoceti","Berardius_bairdii"
"Caperea_marginata","Caperea marginata","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","1,0,1","Mysticeti","Caperea_marginata"
"Cephalorhynchus_commersonii","Cephalorhynchus commersonii","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","5,2, 2, 3, 2, 2","Odontoceti","Cephalorhynchus_commersonii"
"Cephalorhynchus_eutropia","Cephalorhynchus eutropia","Limited data",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","2,2,2","Odontoceti","Cephalorhynchus_eutropia"
"Cephalorhynchus_heavisidii","Cephalorhynchus heavisidii","",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","2,4,3,4,2,2","Odontoceti","Cephalorhynchus_heavisidii"
"Cephalorhynchus_hectori","Cephalorhynchus hectori","",NA,NA,"diurnal","diurnal","diurnal","diurnal","","4,2,3,2,3,3","Odontoceti","Cephalorhynchus_hectori"
"Delphinapterus_leucas","Delphinapterus leucas","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","Cathemeral during the midnight sun (period in the arctic circle when the sun doesn't set) and polar night (sun doesn't rise)","3,5,3,4,4,4","Odontoceti","Delphinapterus_leucas"
"Delphinus_delphis","Delphinus delphis","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 2, 3, 2, 3","Odontoceti","Delphinus_delphis"
"Eschrichtius_robustus","Eschrichtius robustus","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,2,3,5","Mysticeti","Eschrichtius_robustus"
"Eubalaena_australis","Eubalaena australis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3,2","Mysticeti","Eubalaena_australis"
"Eubalaena_glacialis","Eubalaena glacialis","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,3, 3, 1, 4, 3, 3, 3, 3, 3","Mysticeti","Eubalaena_glacialis"
"Eubalaena_japonica","Eubalaena japonica","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3,2, 2","Mysticeti","Eubalaena_japonica"
"Feresa_attenuata","Feresa attenuata","",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4, 1, 2","Odontoceti","Feresa_attenuata"
"Globicephala_macrorhynchus","Globicephala macrorhynchus","",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3","Odontoceti","Globicephala_macrorhynchus"
"Globicephala_melas","Globicephala melas","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,4,3,2","Odontoceti","Globicephala_melas"
"Grampus_griseus","Grampus griseus","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3","Odontoceti","Grampus_griseus"
"Hyperoodon_ampullatus","Hyperoodon ampullatus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,4","Odontoceti","Hyperoodon_ampullatus"
"Hyperoodon_planifrons","Hyperoodon planifrons","Limited data",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Odontoceti","Hyperoodon_planifrons"
"Indopacetus_pacificus","Indopacetus pacificus","",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Odontoceti","Indopacetus_pacificus"
"Inia_boliviensis","Inia boliviensis","Not in mam tree, Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Inia_boliviensis"
"Inia_geoffrensis","Inia geoffrensis","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,3,5,2","Odontoceti","Inia_geoffrensis"
"Inia_humboldtiana","Inia humboldtiana","Not in mam tree, Likely not a valid subspecies",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Inia_humboldtiana"
"Kogia_breviceps","Kogia breviceps","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 0, 0 ,4","Odontoceti","Kogia_breviceps"
"Kogia_sima","Kogia sima","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 2, 0","Odontoceti","Kogia_sima"
"Lagenodelphis_hosei","Lagenodelphis hosei","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0,3","Odontoceti","Lagenodelphis_hosei"
"Lagenorhynchus_acutus","Lagenorhynchus acutus","Leucopleurus acutus","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","5,3","Odontoceti","Lagenorhynchus_acutus"
"Lagenorhynchus_albirostris","Lagenorhynchus albirostris","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,2","Odontoceti","Lagenorhynchus_albirostris"
"Lagenorhynchus_australis","Lagenorhynchus australis","Sagmatias australis",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2, 2, 2, 0, 2","Odontoceti","Lagenorhynchus_australis"
"Lagenorhynchus_obliquidens","Lagenorhynchus obliquidens","Sagmatias obliquidens","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal/crepuscular in summer. diurnal in captivity ","5,4,3,2","Odontoceti","Lagenorhynchus_obliquidens"
"Lagenorhynchus_obscurus","Lagenorhynchus obscurus","Sagmatias obscurus",NA,NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (subpopulation in New zealand)","4,2,4,2,4,2,2","Odontoceti","Lagenorhynchus_obscurus"
"Lipotes_vexillifer","Lipotes vexillifer","Possibly extinct","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","3,5,5","Odontoceti","Lipotes_vexillifer"
"Lissodelphis_borealis","Lissodelphis borealis","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Lissodelphis_borealis"
"Lissodelphis_peronii","Lissodelphis peronii","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Lissodelphis_peronii"
"Megaptera_novaeangliae","Megaptera novaeangliae","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,4,3","Mysticeti","Megaptera_novaeangliae"
"Mesoplodon_bidens","Mesoplodon bidens","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,4","Odontoceti","Mesoplodon_bidens"
"Mesoplodon_densirostris","Mesoplodon densirostris","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,3,4,3,3","Odontoceti","Mesoplodon_densirostris"
"Mesoplodon_europaeus","Mesoplodon europaeus","Limited data","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3","Odontoceti","Mesoplodon_europaeus"
"Mesoplodon_ginkgodens","Mesoplodon ginkgodens","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 3","Odontoceti","Mesoplodon_ginkgodens"
"Mesoplodon_grayi","Mesoplodon grayi","Insufficient info",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","0.5","Odontoceti","Mesoplodon_grayi"
"Mesoplodon_hotaula","Mesoplodon hotaula","Not in mam tree",NA,NA,"diurnal","diurnal","diurnal","diurnal","","3","Odontoceti","Mesoplodon_hotaula"
"Mesoplodon_stejnegeri","Mesoplodon stejnegeri","Limited data","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3","Odontoceti","Mesoplodon_stejnegeri"
"Monodon_monoceros","Monodon monoceros","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,4,4,3,4,4","Odontoceti","Monodon_monoceros"
"Neophocaena_asiaeorientalis","Neophocaena asiaeorientalis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,5,2,3","Odontoceti","Neophocaena_asiaeorientalis"
"Neophocaena_phocaenoides","Neophocaena phocaenoides","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3,3,3","Odontoceti","Neophocaena_phocaenoides"
"Neophocaena_sunameri","Neophocaena sunameri","Not in mam tree",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,3","Odontoceti","Neophocaena_sunameri"
"Orcaella_brevirostris","Orcaella brevirostris","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","2,2,3,3,2","Odontoceti","Orcaella_brevirostris"
"Orcaella_heinsohni","Orcaella heinsohni","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,2,0","Odontoceti","Orcaella_heinsohni"
"Orcinus_orca","Orcinus orca","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","4,3,3,4,4,3","Odontoceti","Orcinus_orca"
"Peponocephala_electra","Peponocephala electra","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,3,4","Odontoceti","Peponocephala_electra"
"Phocoena_phocoena","Phocoena phocoena","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal (muddy areas), diurnal (population)","3,3,4,3,3,4,3,3,4,3,3","Odontoceti","Phocoena_phocoena"
"Phocoena_sinus","Phocoena sinus","Limited data","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3","Odontoceti","Phocoena_sinus"
"Phocoena_spinipinnis","Phocoena spinipinnis","Limited data",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","1.5, 2, 0, 1.5, 2, 0.5","Odontoceti","Phocoena_spinipinnis"
"Phocoenoides_dalli","Phocoenoides dalli","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","2,3,3","Odontoceti","Phocoenoides_dalli"
"Physeter_macrocephalus","Physeter macrocephalus","Physeter macrocephalus","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal (subpopulation in Ogasawara and sites far from equator, temporal during winter)","3,4,3,4,4,3,3,3,3,3,4,3","Odontoceti","Physeter_macrocephalus"
"Platanista_gangetica","Platanista gangetica","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,2,2,3","Odontoceti","Platanista_gangetica"
"Platanista_minor","Platanista minor","Not in mam tree","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3, 0","Odontoceti","Platanista_minor"
"Pontoporia_blainvillei","Pontoporia blainvillei","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 3, 0, 3","Odontoceti","Pontoporia_blainvillei"
"Pseudorca_crassidens","Pseudorca crassidens","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","5,4, 4, 4","Odontoceti","Pseudorca_crassidens"
"Sotalia_fluviatilis","Sotalia fluviatilis","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,2,2,3","Odontoceti","Sotalia_fluviatilis"
"Sotalia_guianensis","Sotalia guianensis","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,2,2,2,2","Odontoceti","Sotalia_guianensis"
"Sousa_chinensis","Sousa chinensis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,3,3,2","Odontoceti","Sousa_chinensis"
"Sousa_plumbea","Sousa plumbea","Not in mam tree",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3,3,2","Odontoceti","Sousa_plumbea"
"Sousa_teuszii","Sousa teuszii","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,3,2","Odontoceti","Sousa_teuszii"
"Stenella_attenuata","Stenella attenuata","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3,2","Odontoceti","Stenella_attenuata"
"Stenella_clymene","Stenella clymene","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Stenella_clymene"
"Stenella_coeruleoalba","Stenella coeruleoalba","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,3,3,3,0","Odontoceti","Stenella_coeruleoalba"
"Stenella_frontalis","Stenella frontalis","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,2","Odontoceti","Stenella_frontalis"
"Stenella_longirostris","Stenella longirostris","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,2, 4, 4, 2, 3","Odontoceti","Stenella_longirostris"
"Steno_bredanensis","Steno bredanensis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,2","Odontoceti","Steno_bredanensis"
"Tursiops_aduncus","Tursiops aduncus","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (population) *deep-diving off-shore ecotype, recently described, may be separate species https://doi.org/10.1111/jeb.13575*","3,2,5,2,3,4,2,3","Odontoceti","Tursiops_aduncus"
"Tursiops_truncatus","Tursiops truncatus","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (population) *deep-diving off-shore ecotype, recently described, may be separate species https://doi.org/10.1111/jeb.13575*","5,2,2,5,5,3,3,3,4,4,4","Odontoceti","Tursiops_truncatus"
"Ziphius_cavirostris","Ziphius cavirostris","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,4,4,3,4,3","Odontoceti","Ziphius_cavirostris"
