"tips","Body_mass","Body_length","Dive_depth","Bizygomatic_width","Average_orbit_length","Orbit_ratio","Habitat","Prey_capture"
"Aetiocetus_cotylalveus",NA,NA,NA,283.573333333333,83.1766666666667,29.331,NA,NA
"Agorophius_pygmaeus",NA,NA,NA,272.981666666667,57.4558333333333,20.9812,NA,NA
"Albertocetus_meffordorum",NA,NA,NA,191.495,45.6808333333333,24.06995,NA,NA
"Argyrocetus_joaquinensis",NA,NA,NA,209.746666666667,57.9983333333333,27.65161,NA,NA
"Balaena_mysticetus",90000,20,416,1744.58,168.791666666667,9.6752035829063,"Nearshore","Skim"
"Balaenoptera_acutorostrata",0,0,118,745.567777777778,164.328888888889,22.2157,"Offshore","Engulfment"
"Balaenoptera_bonaerensis",0,0,105,NA,NA,NA,NA,NA
"Balaenoptera_borealis",0,0,57,1578.98,237.406666666667,14.7317,"Offshore","Engulfment"
"Balaenoptera_brydei",0,0,267,NA,NA,NA,NA,NA
"Balaenoptera_edeni",40000,16.5,300,1546.98666666667,226.748333333333,14.2988284,"Offshore","Engulfment"
"Balaenoptera_musculus",0,0,506,NA,NA,NA,NA,NA
"Balaenoptera_physalus",90000,24,528,2010.38333333333,257.26,12.27531,"Offshore","Engulfment"
"Balaenoptera_ricei",0,0,270,NA,NA,NA,NA,NA
"Berardius_bairdi",NA,NA,NA,NA,NA,NA,"Offshore","Suction"
"Berardius_bairdii",12000,11.1,1566,574.406666666667,92.4666666666667,15.16077,NA,NA
"Berardius_minimus",NA,NA,NA,518.19,111.49,21.51527432023,"Offshore","Suction"
"Caperea_marginata",NA,NA,NA,499.38,119.75,22.650844,"Offshore","Skim"
"Cephalorhynchus_commersoni",NA,NA,NA,NA,NA,NA,"Nearshore","Ram"
"Cephalorhynchus_commersonii",0,0,100,141.013333333333,43.3158333333333,30.72825,NA,NA
"Cephalorhynchus_eutropia",0,0,20,155.563333333333,42.36,36.2246,"Nearshore","Ram"
"Cephalorhynchus_heavisidi",NA,NA,NA,NA,NA,NA,"Nearshore","Ram"
"Cephalorhynchus_heavisidii",0,0,166,171.493333333333,46.16,26.91649,NA,NA
"Cephalorhynchus_hectori",NA,NA,NA,133.318333333333,40.9,30.68095,"Nearshore","Ram"
"Chonecetus_sp.",NA,NA,NA,229.056666666667,57.3,25.0156438726953,NA,NA
"Coronodon_havensteini",NA,NA,NA,457.703333333333,108.328333333333,23.667805,NA,NA
"Cotylocara_macei",NA,NA,NA,274.013333333333,59.4433333333333,21.69359,NA,NA
"Delphinapterus_leucas",1600,5.5,1275,269.3,63.8991666666667,23.81195,"Nearshore","Suction"
"Delphinodon_dividum",NA,NA,NA,163.623333333333,51.1066666666667,31.23433,NA,NA
"Delphinus_delphis",200,2.5,258,181.146944444444,51.1501388888889,28.2617787657773,"Offshore","Ram"
"Delphinus_sp.",0,0,280,NA,NA,NA,NA,NA
"Diorocetus_hiatus",NA,NA,NA,576.86,125.45,21.7470443435149,NA,NA
"Dorudon_atrox",NA,NA,NA,390.143333333333,88.3383333333333,22.642533,NA,NA
"Echovenator_sandersi",NA,NA,NA,179.62,47.1666666666667,26.25913,NA,NA
"Eschrichtius_robustus",45000,15,170,1191.32333333333,182.488333333333,15.3181196260741,"Nearshore","Suction"
"Eubalaena_australis",80000,17,184,1647.49333333333,132.408333333333,8.03695715511241,"Offshore","Skim"
"Eubalaena_glacialis",0,0,175,NA,NA,NA,NA,NA
"Eurhinodelphis_longirostris",NA,NA,NA,184.21,41.7166666666667,22.64625,NA,NA
"Feresa_attenuata",0,0,364,216.982222222222,60.4516666666667,27.8615166666667,"Offshore","Ram"
"Georgiacetus_vogtlensis",NA,NA,NA,302.576666666667,52.245,17.26669,NA,NA
"Globicephala_macrorhynchus",0,0,1168,NA,NA,NA,NA,NA
"Globicephala_melas",2300,6.7,828,431.378888888889,102.079444444444,23.7645666666667,"Offshore","Suction"
"Grampus_griseus",0,0,566,323.565555555556,76.7972222222222,23.7357666666667,"Offshore","Suction"
"Hyperoodon_ampullatus",7500,10,1453,896.24,189.54,17.2414,"Offshore","Suction"
"Indopacetus_pacificus",NA,NA,NA,334.276666666667,107.746666666667,30.78672,"Offshore","Suction"
"Inia_geoffrensis",NA,NA,NA,228.976666666667,43.9554166666667,19.1042425,"Freshwater","Snap"
"Kentriodon_pernix",NA,NA,NA,139.853333333333,41.94,29.98855,NA,NA
"Kogia_breviceps",NA,NA,NA,388.814444444444,85.9966666666667,22.1043333333333,"Offshore","Suction"
"Kogia_sima",0,0,500,NA,NA,NA,NA,NA
"Lagenodelphis_hosei",210,2.7,600,204.66,53.4688888888889,26.2538798407867,"Offshore","Suction"
"Lagenorhynchus_acutus",0,0,191,226.452222222222,56.4422222222222,24.9147666666667,NA,NA
"Lagenorhynchus_albirostris",0,0,200,224.573333333333,70.4133333333333,31.7281,"Offshore","Ram"
"Lagenorhynchus_australis",0,0,20,196.674444444444,52.6261111111111,26.7818333333333,NA,NA
"Lagenorhynchus_cruciger",0,0,200,191.146666666667,49.4133333333333,25.851,NA,NA
"Lagenorhynchus_obliquidens",198,2.5,214,185.635555555556,52.59,28.33984,NA,NA
"Lagenorhynchus_obscurus",0,0,200,188.153333333333,54.1638888888889,28.8073333333333,NA,NA
"Leucopleurus_acutus",NA,NA,NA,NA,NA,NA,"Offshore","Ram"
"Lipotes_vexillifer",NA,NA,NA,228.826666666667,28.9516666666667,12.6522,"Freshwater","Snap"
"Lissodelphis_borealis",115,3.1,250,194.217777777778,58.2344444444444,29.9918,"Offshore","Ram"
"Lissodelphis_sp.",0,0,200,NA,NA,NA,NA,NA
"Megaptera_novaeangliae",0,0,616,NA,NA,NA,NA,NA
"Mesoplodon_bidens",0,0,1386,264.108888888889,90.7233333333333,34.414599481276,"Offshore","Suction"
"Mesoplodon_carlhubbsi",NA,NA,NA,375.056666666667,112.686666666667,28.4698,"Offshore","Suction"
"Mesoplodon_densirostris",1033,4.7,1500,269.033333333333,80.71,30,"Offshore","Suction"
"Mesoplodon_europaeus",0,0,872,348.864444444444,102.886666666667,29.5183333333333,"Offshore","Suction"
"Mesoplodon_ginkgodens",NA,NA,NA,333.643333333333,100.328333333333,29.331469,"Offshore","Suction"
"Mesoplodon_grayi",NA,NA,NA,300.33,99.15,31.3653147686135,"Offshore","Suction"
"Mesoplodon_hotaula",NA,NA,NA,361.313333333333,108.343333333333,27.53762,"Offshore","Suction"
"Mesoplodon_layardi",NA,NA,NA,NA,NA,NA,"Offshore","Suction"
"Mesoplodon_layardii",NA,NA,NA,417.373333333333,107.021666666667,23.968415,NA,NA
"Mesoplodon_mirus",0,0,939,343.92,104.666666666667,29.517723,"Offshore","Suction"
"Mesoplodon_perrini",NA,NA,NA,271.746666666667,84.1666666666667,29.4837726,"Offshore","Suction"
"Mesoplodon_peruvianus",NA,NA,NA,217.528333333333,73.3783333333333,33.6134172742519,"Offshore","Suction"
"Mesoplodon_stejnegeri",NA,NA,NA,314.026666666667,99.2308333333333,31.0041710929118,"Offshore","Suction"
"Micromysticetus_rothauseni",NA,NA,NA,503.22,95.9566666666667,19.0685319873349,NA,NA
"Monodon_monoceros",1600,4.8,1400,349.06,72.7705555555556,20.8490333333333,"Nearshore","Suction"
"Neophocaena_asiaeorientalis",0,0,20,142.371666666667,36.5758333333333,25.69165,"Nearshore","Suction"
"Neophocaena_phocaenoides",0,0,20,NA,NA,NA,NA,NA
"Neophocaena_sp.",0,0,50,NA,NA,NA,NA,NA
"Notocetus_vanbenedeni",NA,NA,NA,251.73,57.5966666666667,22.88033,NA,NA
"Orcaella_brevirostris",0,0,110,NA,NA,NA,NA,NA
"Orcaella_heinsohni",0,0,30,189.526666666667,50.105,26.43691,"Nearshore","Suction"
"Orcinus_orca",10000,9.8,768,679.256666666667,136.495,20.0947,"Offshore","Grip-and-Tear"
"Parapontoporia_sternbergi",NA,NA,NA,130.043333333333,44.3733333333333,34.12195,NA,NA
"Peponocephala_electra",0,0,472,246.551666666667,67.2941666666667,27.285,"Offshore","Suction"
"Phocoena_dioptrica",NA,NA,NA,168.238333333333,54.77,32.50124,"Offshore","Suction"
"Phocoena_phocoena",70,1.89,226,150.681666666667,48.7641666666667,32.456175,"Nearshore","Suction"
"Phocoena_sinus",35,1.5,30,130.3,30.2033333333333,23.1798,"Nearshore","Suction"
"Phocoena_spinipinnis",NA,NA,NA,151.388888888889,47.6094444444444,31.5064333333333,"Nearshore","Suction"
"Phocoenoides_dalli",200,2.4,180,186.141111111111,58.4533333333333,31.5802,"Offshore","Suction"
"Physeter_macrocephalus",57000,18.3,3200,1707.78666666667,197.401666666667,10.43169,"Offshore","Suction"
"Platanista_gangetica",NA,NA,NA,146.271666666667,11.7775,8.00285,"Freshwater","Snap"
"Pontoporia_blainvillei",0,0,35,122.087777777778,29.75,24.4151333333333,"Nearshore","Snap"
"Prosqualodon_davidis cast",NA,NA,NA,331.92,63.5783333333333,19.1547,NA,NA
"Pseudorca_crassidens",2000,6,2345,378.411111111111,94.175,24.84204,"Offshore","Grip-and-Tear"
"Remingtonocetus_harudiensis",NA,NA,NA,221.763333333333,40.8566666666667,21.3967,NA,NA
"Sagmatias_australis",NA,NA,NA,NA,NA,NA,"Nearshore","Ram"
"Sagmatias_cruciger",NA,NA,NA,NA,NA,NA,"Offshore","Ram"
"Sagmatias_obliquidens",NA,NA,NA,NA,NA,NA,"Offshore","Ram"
"Sagmatias_obscurus",NA,NA,NA,NA,NA,NA,"Nearshore","Ram"
"Schizodelphis_morckhoviensis",NA,NA,NA,187.303333333333,53.5316666666667,28.5801,NA,NA
"Semirostrum_ceruttii",NA,NA,NA,178.66,63.3733333333333,35.4714728161499,NA,NA
"Simocetus_rayi",NA,NA,NA,237.516666666667,47.4966666666667,19.997193,NA,NA
"Sotalia_fluviatilis",NA,NA,NA,149.341666666667,42.0016666666667,28.1158,"Freshwater","Ram"
"Sotalia_guianensis",0,0,35,162.503333333333,45.4583333333333,27.9737,"Nearshore","Ram"
"Sousa_chinensis",0,0,30,NA,NA,NA,NA,NA
"Sousa_plumbea",0,0,30,209.463333333333,59.41,28.42925,"Nearshore","Ram"
"Squalodon_calvertensis",NA,NA,NA,278.16,64.3333333333333,23.12817,NA,NA
"Squaloziphius_emlongi",NA,NA,NA,287.84,63.95,22.217204,NA,NA
"Stenella_attenuata",119,2.6,213,162.47,49.7225,30.62917,"Offshore","Ram"
"Stenella_clymene",0,0,700,186.418333333333,48.8704166666667,26.2520475,"Offshore","Ram"
"Stenella_coeruleoalba",156,2.56,700,206.23619047619,53.5545238095238,25.9808247045071,"Offshore","Ram"
"Stenella_frontalis",143,2.3,60,190.413333333333,55.2476666666667,29.07710474,"Offshore","Ram"
"Stenella_longirostris",82,2.35,600,141.292222222222,41.5155555555556,29.3828666666667,"Offshore","Ram"
"Steno_bredanensis",155,2.65,400,216.23,69.6377777777778,32.2005806666667,"Offshore","Ram"
"Tasmacetus_shepherdi",NA,NA,NA,560.283333333333,118.908333333333,21.2229,"Offshore","Suction"
"Tursiops_aduncus",0,0,1000,NA,NA,NA,NA,NA
"Tursiops_truncatus",650,3.8,535,267.981666666667,67.1580555555556,25.1699166666667,"Nearshore","Ram"
"Xenorophus_new sp",NA,NA,NA,276.740833333333,66.8379166666667,24.2391886,NA,NA
"Xenorophus_sloani",NA,NA,NA,183.285,49.1516666666667,26.8170699,NA,NA
"Xiphiacetus_cristatus",NA,NA,NA,273.186666666667,63.8333333333333,23.3661964916,NA,NA
"Zarhachis_flagellator",NA,NA,NA,257.736666666667,43.99,17.067808,NA,NA
"Ziphius_cavirostris",3000,7,2992,475.663,117.522333333333,24.2284978969267,"Offshore","Suction"
"Zygorhiza_kochii",NA,NA,NA,328.753333333333,75.3466666666667,22.9189,NA,NA
