"","X","Species_name","Family","Notes","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel_Pattern","Confidence","tips"
"1","Addax_nasomaculatus","Addax nasomaculatus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Addax_nasomaculatus"
"2","Aepyceros_melampus","Aepyceros melampus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Aepyceros_melampus"
"3","Alcelaphus_buselaphus","Alcelaphus buselaphus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Alcelaphus_buselaphus"
"4","Alces_alces","Alces alces","Cervidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",3,"Alces_alces"
"5","Ammodorcas_clarkei","Ammodorcas clarkei","Bovidae","","diurnal","diurnal","diurnal","diurnal","",1,"Ammodorcas_clarkei"
"6","Ammotragus_lervia","Ammotragus lervia","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Ammotragus_lervia"
"7","Antidorcas_marsupialis","Antidorcas marsupialis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Antidorcas_marsupialis"
"8","Antilocapra_americana","Antilocapra americana","Antilocapridae","","diurnal","diurnal","diurnal","diurnal","*Increase in dusk activity in late summer and mid-winter",4,"Antilocapra_americana"
"9","Antilope_cervicapra","Antilope cervicapra","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Antilope_cervicapra"
"10","Arabitragus_jayakari","Arabitragus jayakari","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",1,"Arabitragus_jayakari"
"11","Axis_axis","Axis axis","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Diurnal",3,"Axis_axis"
"12","Axis_calamianensis","Axis calamianensis","Cervidae","Hyelaphus calamianensis",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",1,"Axis_calamianensis"
"13","Axis_kuhlii","Axis kuhlii","Cervidae","Hyelaphus kuhlii",NA,"cathemeral","crepuscular","cathemeral","",3,"Axis_kuhlii"
"14","Axis_porcinus","Axis porcinus","Cervidae","Hyelaphus porcinus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Axis_porcinus"
"15","Beatragus_hunteri","Beatragus hunteri","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Beatragus_hunteri"
"16","Bison_bison","Bison bison","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*more crepuscular (less diurnal) in the winter",3,"Bison_bison"
"17","Bison_bonasus","Bison bonasus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","",3,"Bison_bonasus"
"18","Blastocerus_dichotomus","Blastocerus dichotomus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Blastocerus_dichotomus"
"19","Bos_gaurus","Bos gaurus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Bos_gaurus"
"20","Bos_javanicus","Bos javanicus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Bos_javanicus"
"21","Bos_mutus","Bos mutus","Bovidae","","diurnal","diurnal","diurnal","diurnal","",1,"Bos_mutus"
"22","Bos_sauveli","Bos sauveli","Bovidae","Maybe extinct",NA,"cathemeral","crepuscular","cathemeral","",1,"Bos_sauveli"
"23","Boselaphus_tragocamelus","Boselaphus tragocamelus","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",3,"Boselaphus_tragocamelus"
"24","Bubalis_bubalis","Bubalis bubalis","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","",3,"Bubalis_bubalis"
"25","Bubalus_arnee","Bubalus arnee","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","*more nocturnal in areas inhabited by humans",2,"Bubalus_arnee"
"26","Bubalus_depressicornis","Bubalus depressicornis","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",1,"Bubalus_depressicornis"
"27","Bubalus_mindorensis","Bubalus mindorensis","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",5,"Bubalus_mindorensis"
"28","Bubalus_quarlesi","Bubalus quarlesi","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",1,"Bubalus_quarlesi"
"29","Budorcas_taxicolor","Budorcas taxicolor","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Budorcas_taxicolor"
"30","Capra_aegagrus","Capra aegagrus","Bovidae","Capra aegagrus hircus (domesticated version)","diurnal","diurnal","diurnal","diurnal","",3,"Capra_aegagrus"
"31","Capra_caucasica","Capra caucasica","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","",1,"Capra_caucasica"
"32","Capra_cylindricornis","Capra cylindricornis","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","*more nocturnal in summer",1,"Capra_cylindricornis"
"33","Capra_falconeri","Capra falconeri","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",2,"Capra_falconeri"
"34","Capra_ibex","Capra ibex","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Capra_ibex"
"35","Capra_nubiana","Capra nubiana","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*more diurnal in winter",3,"Capra_nubiana"
"36","Capra_pyrenaica","Capra pyrenaica","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Capra_pyrenaica"
"37","Capra_sibirica","Capra sibirica","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*diurnal in winter, diurnal/crepuscular in summer",3,"Capra_sibirica"
"38","Capra_walie","Capra walie","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Capra_walie"
"39","Capreolus_capreolus","Capreolus capreolus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Capreolus_capreolus"
"40","Capreolus_pygargus","Capreolus pygargus","Cervidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","*more nocturnal in summer, more crepuscular in all other seasons",3,"Capreolus_pygargus"
"41","Capricornis_crispus","Capricornis crispus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","",3,"Capricornis_crispus"
"42","Capricornis_rubidus","Capricornis rubidus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","",3,"Capricornis_rubidus"
"43","Capricornis_sumatraensis","Capricornis sumatraensis","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","",4,"Capricornis_sumatraensis"
"44","Capricornis_swinhoei","Capricornis swinhoei","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",1,"Capricornis_swinhoei"
"45","Capricornis_thar","Capricornis thar","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Capricornis_thar"
"46","Cephalophus_adersi","Cephalophus adersi","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Cephalophus_adersi"
"47","Cephalophus_callipygus","Cephalophus callipygus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Cephalophus_callipygus"
"48","Cephalophus_dorsalis","Cephalophus dorsalis","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Cephalophus_dorsalis"
"49","Cephalophus_harveyi","Cephalophus harveyi","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Cephalophus_harveyi"
"50","Cephalophus_jentinki","Cephalophus jentinki","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",4,"Cephalophus_jentinki"
"51","Cephalophus_leucogaster","Cephalophus leucogaster","Bovidae","","diurnal","diurnal","diurnal","diurnal","",3,"Cephalophus_leucogaster"
"52","Cephalophus_natalensis","Cephalophus natalensis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Cephalophus_natalensis"
"53","Cephalophus_niger","Cephalophus niger","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Cephalophus_niger"
"54","Cephalophus_nigrifrons","Cephalophus nigrifrons","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Cephalophus_nigrifrons"
"55","Cephalophus_ogilbyi","Cephalophus ogilbyi","Bovidae","subspecies crusalbum and brookei","diurnal","diurnal","diurnal","diurnal","",3,"Cephalophus_ogilbyi"
"56","Cephalophus_rufilatus","Cephalophus rufilatus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Cephalophus_rufilatus"
"57","Cephalophus_silvicultor","Cephalophus silvicultor","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",3,"Cephalophus_silvicultor"
"58","Cephalophus_spadix","Cephalophus spadix","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Cephalophus_spadix"
"59","Cephalophus_weynsi","Cephalophus weynsi","Bovidae","","diurnal","diurnal","diurnal","diurnal","",3,"Cephalophus_weynsi"
"60","Cephalophus_zebra","Cephalophus zebra","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Cephalophus_zebra"
"61","Cervus_albirostris","Cervus albirostris","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Cervus_albirostris"
"62","Cervus_canadensis","Cervus canadensis","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Cervus_canadensis"
"63","Cervus_elaphus","Cervus elaphus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Nocturnal in europe, diurnal in Canda (from same source 1)",4,"Cervus_elaphus"
"64","Cervus_nippon","Cervus nippon","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*deer adjust to activity to be more diurnal or nocturnal in response to culling (source 2)",3,"Cervus_nippon"
"65","Connochaetes_gnou","Connochaetes gnou","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Connochaetes_gnou"
"66","Connochaetes_taurinus","Connochaetes taurinus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",5,"Connochaetes_taurinus"
"67","Dama_dama","Dama dama","Cervidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Dama_dama"
"68","Dama_mesopotamica","Dama mesopotamica","Cervidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",1,"Dama_mesopotamica"
"69","Damaliscus_lunatus","Damaliscus lunatus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",2,"Damaliscus_lunatus"
"70","Damaliscus_pygargus","Damaliscus pygargus","Bovidae","*subsps phillipsi","diurnal","diurnal/crepuscular","crepuscular","diurnal","",2,"Damaliscus_pygargus"
"71","Dorcatragus_megalotis","Dorcatragus megalotis","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*become more crepuscular in the summer months, more diurnal during the winter/fall/spring",2,"Dorcatragus_megalotis"
"72","Elaphodus_cephalophus","Elaphodus cephalophus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Elaphodus_cephalophus"
"73","Elaphurus_davidianus","Elaphurus davidianus","Cervidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",2,"Elaphurus_davidianus"
"74","Eudorcas_albonotata","Eudorcas albonotata","Bovidae","*subsps of thomsonii, no info","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Eudorcas_albonotata"
"75","Eudorcas_rufifrons","Eudorcas rufifrons","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Eudorcas_rufifrons"
"76","Eudorcas_thomsonii","Eudorcas thomsonii","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Eudorcas_thomsonii"
"77","Gazella_bennettii","Gazella bennettii","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",2,"Gazella_bennettii"
"78","Gazella_cuvieri","Gazella cuvieri","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",1,"Gazella_cuvieri"
"79","Gazella_dorcas","Gazella dorcas","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*switches seasonally from being more diurnal in the winter to more crepuscular in the spring",4,"Gazella_dorcas"
"80","Gazella_gazella","Gazella gazella","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Gazella_gazella"
"81","Gazella_leptoceros","Gazella leptoceros","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","*more diurnal in winter, more nocturnal in summer",3,"Gazella_leptoceros"
"82","Gazella_marica","Gazella marica","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","*more crepuscular in warm wet period, more nocturnal in hot dry period",4,"Gazella_marica"
"83","Gazella_spekei","Gazella spekei","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",1,"Gazella_spekei"
"84","Gazella_subgutturosa","Gazella subgutturosa","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*become more diurnal in the cold season",2,"Gazella_subgutturosa"
"85","Giraffa_camelopardalis","Giraffa camelopardalis","Giraffidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Giraffa_camelopardalis"
"86","Hemitragus_jemlahicus","Hemitragus jemlahicus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Hemitragus_jemlahicus"
"87","Hippocamelus_antisensis","Hippocamelus antisensis","Cervidae","","diurnal","diurnal","diurnal","diurnal","",3,"Hippocamelus_antisensis"
"88","Hippocamelus_bisulcus","Hippocamelus bisulcus","Cervidae","","diurnal","diurnal","diurnal","diurnal","",1,"Hippocamelus_bisulcus"
"89","Hippotragus_equinus","Hippotragus equinus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*very diurnal in dry season",3,"Hippotragus_equinus"
"90","Hippotragus_niger","Hippotragus niger","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Slightly more diurnal",4,"Hippotragus_niger"
"91","Hydropotes_inermis","Hydropotes inermis","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Hydropotes_inermis"
"92","Hyemoschus_aquaticus","Hyemoschus aquaticus","Tragulidae","","nocturnal","nocturnal","nocturnal","nocturnal","",4,"Hyemoschus_aquaticus"
"93","Kobus_ellipsiprymnus","Kobus ellipsiprymnus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Kobus_ellipsiprymnus"
"94","Kobus_kob","Kobus kob","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*diurnal/crepuscular",4,"Kobus_kob"
"95","Kobus_leche","Kobus leche","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Kobus_leche"
"96","Kobus_megaceros","Kobus megaceros","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",1,"Kobus_megaceros"
"97","Kobus_vardonii","Kobus vardonii","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",4,"Kobus_vardonii"
"98","Litocranius_walleri","Litocranius walleri","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",2,"Litocranius_walleri"
"99","Madoqua_guentheri","Madoqua guentheri","Bovidae","","diurnal","diurnal","diurnal","diurnal","",4,"Madoqua_guentheri"
"100","Madoqua_kirkii","Madoqua kirkii","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Madoqua_kirkii"
"101","Madoqua_piacentinii","Madoqua piacentinii","Bovidae","","diurnal","diurnal","diurnal","diurnal","",1,"Madoqua_piacentinii"
"102","Madoqua_saltiana","Madoqua saltiana","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",5,"Madoqua_saltiana"
