"","X","Species_name","Family","Notes","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel_Pattern","Confidence","tips"
"103","Mazama_americana","Mazama americana","Cervidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",3,"Mazama_americana"
"104","Mazama_bororo","Mazama bororo","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Mazama_bororo"
"105","Mazama_bricenii","Mazama bricenii","Cervidae","may be a subspecies of M rufina","nocturnal","nocturnal","nocturnal","nocturnal","",1,"Mazama_bricenii"
"106","Mazama_chunyi","Mazama chunyi","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Mazama_chunyi"
"107","Mazama_gouazoubira","Mazama gouazoubira","Cervidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Mazama_gouazoubira"
"108","Mazama_nana","Mazama nana","Cervidae","may be a subspecies of M rufina","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Mazama_nana"
"109","Mazama_nemorivaga","Mazama nemorivaga","Cervidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Mazama_nemorivaga"
"110","Mazama_pandora","Mazama pandora","Cervidae","Odocoileus pandora","diurnal","diurnal","diurnal","diurnal","",3,"Mazama_pandora"
"111","Mazama_rufina","Mazama rufina","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","*large dusk activity peak",3,"Mazama_rufina"
"112","Mazama_temama","Mazama temama","Cervidae","",NA,"cathemeral","crepuscular","cathemeral","",3,"Mazama_temama"
"113","Moschiola_indica","Moschiola indica","Tragulidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Moschiola_indica"
"114","Moschiola_kathygre","Moschiola kathygre","Tragulidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Moschiola_kathygre"
"115","Moschiola_meminna","Moschiola meminna","Tragulidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Moschiola_meminna"
"116","Moschus_anhuiensis","Moschus anhuiensis","Moschidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",1,"Moschus_anhuiensis"
"117","Moschus_berezovskii","Moschus berezovskii","Moschidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Moschus_berezovskii"
"118","Moschus_chrysogaster","Moschus chrysogaster","Moschidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",3,"Moschus_chrysogaster"
"119","Moschus_cupreus","Moschus cupreus","Moschidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",2,"Moschus_cupreus"
"120","Moschus_fuscus","Moschus fuscus","Moschidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",1,"Moschus_fuscus"
"121","Moschus_leucogaster","Moschus leucogaster","Moschidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",2,"Moschus_leucogaster"
"122","Moschus_moschiferus","Moschus moschiferus","Moschidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",1,"Moschus_moschiferus"
"123","Muntiacus_atherodes","Muntiacus atherodes","Cervidae","","diurnal","diurnal","diurnal","diurnal","",3,"Muntiacus_atherodes"
"124","Muntiacus_crinifrons","Muntiacus crinifrons","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Muntiacus_crinifrons"
"125","Muntiacus_feae","Muntiacus feae","Cervidae","","diurnal","diurnal","diurnal","diurnal","",1,"Muntiacus_feae"
"126","Muntiacus_gongshanensis","Muntiacus gongshanensis","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",1,"Muntiacus_gongshanensis"
"127","Muntiacus_muntjak","Muntiacus muntjak","Cervidae","*subsps Muntiacus montanus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Muntiacus_muntjak"
"128","Muntiacus_reevesi","Muntiacus reevesi","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Muntiacus_reevesi"
"129","Muntiacus_vaginalis","Muntiacus vaginalis","Cervidae","",NA,"cathemeral","crepuscular","cathemeral","",3,"Muntiacus_vaginalis"
"130","Muntiacus_vuquangensis","Muntiacus vuquangensis","Cervidae","",NA,"cathemeral","crepuscular","cathemeral","",3,"Muntiacus_vuquangensis"
"131","Naemorhedus_baileyi","Naemorhedus baileyi","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",1,"Naemorhedus_baileyi"
"132","Naemorhedus_caudatus","Naemorhedus caudatus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Naemorhedus_caudatus"
"133","Naemorhedus_goral","Naemorhedus goral","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Naemorhedus_goral"
"134","Naemorhedus_griseus","Naemorhedus griseus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Naemorhedus_griseus"
"135","Nanger_dama","Nanger dama","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","*double check",3,"Nanger_dama"
"136","Nanger_granti","Nanger granti","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Nanger_granti"
"137","Nanger_soemmerringii","Nanger soemmerringii","Bovidae","","diurnal","diurnal","diurnal","diurnal","",1,"Nanger_soemmerringii"
"138","Neotragus_batesi","Neotragus batesi","Bovidae","Nesotragus batesi","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",3,"Neotragus_batesi"
"139","Neotragus_pygmaeus","Neotragus pygmaeus","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","",4,"Neotragus_pygmaeus"
"140","Nesotragus_moschatus","Nesotragus moschatus","Bovidae","Neotragus moschatus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",3,"Nesotragus_moschatus"
"141","Nilgiritragus_hylocrius","Nilgiritragus hylocrius","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",1,"Nilgiritragus_hylocrius"
"142","Odocoileus_hemionus","Odocoileus hemionus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*becomes more diurnal in the cool season ",4,"Odocoileus_hemionus"
"143","Odocoileus_virginianus","Odocoileus virginianus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Odocoileus_virginianus"
"144","Okapia_johnstoni","Okapia johnstoni","Giraffidae","","diurnal","diurnal","diurnal","diurnal","",5,"Okapia_johnstoni"
"145","Oreamnos_americanus","Oreamnos americanus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Oreamnos_americanus"
"146","Oreotragus_oreotragus","Oreotragus oreotragus","Bovidae","","diurnal","diurnal","diurnal","diurnal","*increase in morning activity in summer, increase in dusk activity in winter",3,"Oreotragus_oreotragus"
"147","Oryx_beisa","Oryx beisa","Bovidae","","diurnal","diurnal","diurnal","diurnal","",1,"Oryx_beisa"
"148","Oryx_dammah","Oryx dammah","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*more nocturnal in summer",3,"Oryx_dammah"
"149","Oryx_gazella","Oryx gazella","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Oryx_gazella"
"150","Oryx_leucoryx","Oryx leucoryx","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*seasonal differences (nocturnal/crepuscular in summer, diurnal during winter)",4,"Oryx_leucoryx"
"151","Ourebia_ourebi","Ourebia ourebi","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Ourebia_ourebi"
"152","Ovibos_moschatus","Ovibos moschatus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","*cathemeral during mid-summer, ultradian during winter",4,"Ovibos_moschatus"
"153","Ovis_ammon","Ovis ammon","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Ovis_ammon"
"154","Ovis_aries","Ovis aries","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Ovis_aries"
"155","Ovis_canadensis","Ovis canadensis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Ovis_canadensis"
"156","Ovis_dalli","Ovis dalli","Bovidae","","diurnal","diurnal","diurnal","diurnal","*adjusts activity with photoperiod, becoming more crepuscular as daylight hours decrease",4,"Ovis_dalli"
"157","Ovis_gmelini","Ovis gmelini","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*more diurnal in winter, more nocturnal in summer",4,"Ovis_gmelini"
"158","Ovis_nivicola","Ovis nivicola","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",1,"Ovis_nivicola"
"159","Ovis_orientalis","Ovis orientalis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Ovis_orientalis"
"160","Ozotoceros_bezoarticus","Ozotoceros bezoarticus","Cervidae","",NA,"cathemeral","crepuscular","cathemeral","",4,"Ozotoceros_bezoarticus"
"161","Pantholops_hodgsonii","Pantholops hodgsonii","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Pantholops_hodgsonii"
"162","Pelea_capreolus","Pelea capreolus","Bovidae","","diurnal","diurnal","diurnal","diurnal","",1,"Pelea_capreolus"
"163","Philantomba_maxwellii","Philantomba maxwellii","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Philantomba_maxwellii"
"164","Philantomba_monticola","Philantomba monticola","Bovidae","subsps congica","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Philantomba_monticola"
"165","Philantomba_walteri","Philantomba walteri","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Philantomba_walteri"
"166","Procapra_gutturosa","Procapra gutturosa","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",1,"Procapra_gutturosa"
"167","Procapra_picticaudata","Procapra picticaudata","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",2,"Procapra_picticaudata"
"168","Procapra_przewalskii","Procapra przewalskii","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",2,"Procapra_przewalskii"
"169","Pseudois_nayaur","Pseudois nayaur","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Pseudois_nayaur"
"170","Pseudoryx_nghetinhensis","Pseudoryx nghetinhensis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",5,"Pseudoryx_nghetinhensis"
"171","Pudu_mephistophiles","Pudu mephistophiles","Cervidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",1,"Pudu_mephistophiles"
"172","Pudu_puda","Pudu puda","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","*found to also be crepuscular in some studies (notes for source 1)",3,"Pudu_puda"
"173","Rangifer_tarandus","Rangifer tarandus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",5,"Rangifer_tarandus"
"174","Raphicerus_campestris","Raphicerus campestris","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Raphicerus_campestris"
"175","Raphicerus_melanotis","Raphicerus melanotis","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",1,"Raphicerus_melanotis"
"176","Raphicerus_sharpei","Raphicerus sharpei","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",1,"Raphicerus_sharpei"
"177","Redunca_arundinum","Redunca arundinum","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",1,"Redunca_arundinum"
"178","Redunca_fulvorufula","Redunca fulvorufula","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Redunca_fulvorufula"
"179","Redunca_redunca","Redunca redunca","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Redunca_redunca"
"180","Rucervus_duvaucelii","Rucervus duvaucelii","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Rucervus_duvaucelii"
"181","Rucervus_eldii","Rucervus eldii","Cervidae","Panolia eldii",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",2,"Rucervus_eldii"
"182","Rupicapra_pyrenaica","Rupicapra pyrenaica","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",2,"Rupicapra_pyrenaica"
"183","Rupicapra_rupicapra","Rupicapra rupicapra","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","Nocturnal",4,"Rupicapra_rupicapra"
"184","Rusa_alfredi","Rusa alfredi","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","",1,"Rusa_alfredi"
"185","Rusa_marianna","Rusa marianna","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","",1,"Rusa_marianna"
"186","Rusa_timorensis","Rusa timorensis","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","*diurnal in the absence of livestock",3,"Rusa_timorensis"
"187","Rusa_unicolor","Rusa unicolor","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Rusa_unicolor"
"188","Saiga_tatarica","Saiga tatarica","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",1,"Saiga_tatarica"
"189","Sylvicapra_grimmia","Sylvicapra grimmia","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",3,"Sylvicapra_grimmia"
"190","Syncerus_caffer","Syncerus caffer","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","",4,"Syncerus_caffer"
"191","Tetracerus_quadricornis","Tetracerus quadricornis","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Tetracerus_quadricornis"
"192","Tragelaphus_angasii","Tragelaphus angasii","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*more crepuscular in some locations",3,"Tragelaphus_angasii"
"193","Tragelaphus_buxtoni","Tragelaphus buxtoni","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Tragelaphus_buxtoni"
"194","Tragelaphus_derbianus","Tragelaphus derbianus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Tragelaphus_derbianus"
"195","Tragelaphus_eurycerus","Tragelaphus eurycerus","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","",3,"Tragelaphus_eurycerus"
"196","Tragelaphus_imberbis","Tragelaphus imberbis","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","",1,"Tragelaphus_imberbis"
"197","Tragelaphus_oryx","Tragelaphus oryx","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",4,"Tragelaphus_oryx"
"198","Tragelaphus_scriptus","Tragelaphus scriptus","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","*more diurnal/cathemeral crepuscular in some locations",4,"Tragelaphus_scriptus"
"199","Tragelaphus_spekii","Tragelaphus spekii","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Tragelaphus_spekii"
"200","Tragelaphus_strepsiceros","Tragelaphus strepsiceros","Bovidae","","diurnal","diurnal","diurnal","diurnal","",3,"Tragelaphus_strepsiceros"
"201","Tragelaphus_sylvaticus","Tragelaphus sylvaticus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","",4,"Tragelaphus_sylvaticus"
"202","Tragulus_javanicus","Tragulus javanicus","Tragulidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",4,"Tragulus_javanicus"
"203","Tragulus_kanchil","Tragulus kanchil","Tragulidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",5,"Tragulus_kanchil"
"204","Tragulus_napu","Tragulus napu","Tragulidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","",3,"Tragulus_napu"
"205","Tragulus_nigricans","Tragulus nigricans","Tragulidae","","nocturnal","nocturnal","nocturnal","nocturnal","",1,"Tragulus_nigricans"
"206","Tragulus_versicolor","Tragulus versicolor","Tragulidae","","diurnal","diurnal","diurnal","diurnal","",3,"Tragulus_versicolor"
"207","Tragulus_williamsoni","Tragulus williamsoni","Tragulidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","",3,"Tragulus_williamsoni"
