"","X","Species_name","Alt_name.notes","Genome","Assembly","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel.Pattern","Confidence","Parvorder","tips"
"1","Balaena_mysticetus","Balaena mysticetus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,4","Mysticeti","Balaena_mysticetus"
"2","Balaenoptera_acutorostrata","Balaenoptera acutorostrata","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 3","Mysticeti","Balaenoptera_acutorostrata"
"3","Balaenoptera_bonaerensis","Balaenoptera bonaerensis","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,3,3,3","Mysticeti","Balaenoptera_bonaerensis"
"4","Balaenoptera_borealis","Balaenoptera borealis","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,3,3,2","Mysticeti","Balaenoptera_borealis"
"6","Balaenoptera_edeni","Balaenoptera edeni","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","4,3,2","Mysticeti","Balaenoptera_edeni"
"7","Balaenoptera_musculus","Balaenoptera musculus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,4,4,3,3,4,3,3","Mysticeti","Balaenoptera_musculus"
"8","Balaenoptera_omurai","Balaenoptera omurai","Limited data, recently decribed as own sps",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,3","Mysticeti","Balaenoptera_omurai"
"9","Balaenoptera_physalus","Balaenoptera physalus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,4,3,3,3,2,3,3","Mysticeti","Balaenoptera_physalus"
"11","Berardius_arnuxii","Berardius arnuxii","Limited data",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","0.5, 2, 1.5, 1.5, 2","Odontoceti","Berardius_arnuxii"
"12","Berardius_bairdii","Berardius bairdii","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,4,4,3","Odontoceti","Berardius_bairdii"
"13","Caperea_marginata","Caperea marginata","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","1,0,1","Mysticeti","Caperea_marginata"
"14","Cephalorhynchus_commersonii","Cephalorhynchus commersonii","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","5,2, 2, 3, 2, 2","Odontoceti","Cephalorhynchus_commersonii"
"15","Cephalorhynchus_eutropia","Cephalorhynchus eutropia","Limited data",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","2,2,2","Odontoceti","Cephalorhynchus_eutropia"
"16","Cephalorhynchus_heavisidii","Cephalorhynchus heavisidii","",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","2,4,3,4,2,2","Odontoceti","Cephalorhynchus_heavisidii"
"17","Cephalorhynchus_hectori","Cephalorhynchus hectori","",NA,NA,"diurnal","diurnal","diurnal","diurnal","","4,2,3,2,3,3","Odontoceti","Cephalorhynchus_hectori"
"18","Delphinapterus_leucas","Delphinapterus leucas","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","Cathemeral during the midnight sun (period in the arctic circle when the sun doesn't set) and polar night (sun doesn't rise)","3,5,3,4,4,4","Odontoceti","Delphinapterus_leucas"
"19","Delphinus_delphis","Delphinus delphis","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 2, 3, 2, 3","Odontoceti","Delphinus_delphis"
"20","Eschrichtius_robustus","Eschrichtius robustus","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,2,3,5","Mysticeti","Eschrichtius_robustus"
"21","Eubalaena_australis","Eubalaena australis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3,2","Mysticeti","Eubalaena_australis"
"22","Eubalaena_glacialis","Eubalaena glacialis","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,3, 3, 1, 4, 3, 3, 3, 3, 3","Mysticeti","Eubalaena_glacialis"
"23","Eubalaena_japonica","Eubalaena japonica","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3,2, 2","Mysticeti","Eubalaena_japonica"
"24","Feresa_attenuata","Feresa attenuata","",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4, 1, 2","Odontoceti","Feresa_attenuata"
"25","Globicephala_macrorhynchus","Globicephala macrorhynchus","",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3","Odontoceti","Globicephala_macrorhynchus"
"26","Globicephala_melas","Globicephala melas","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,4,3,2","Odontoceti","Globicephala_melas"
"27","Grampus_griseus","Grampus griseus","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3","Odontoceti","Grampus_griseus"
"28","Hyperoodon_ampullatus","Hyperoodon ampullatus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,4","Odontoceti","Hyperoodon_ampullatus"
"29","Hyperoodon_planifrons","Hyperoodon planifrons","Limited data",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Odontoceti","Hyperoodon_planifrons"
"30","Indopacetus_pacificus","Indopacetus pacificus","",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Odontoceti","Indopacetus_pacificus"
"32","Inia_geoffrensis","Inia geoffrensis","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,3,5,2","Odontoceti","Inia_geoffrensis"
"34","Kogia_breviceps","Kogia breviceps","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 0, 0 ,4","Odontoceti","Kogia_breviceps"
"35","Kogia_sima","Kogia sima","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 2, 0","Odontoceti","Kogia_sima"
"36","Lagenodelphis_hosei","Lagenodelphis hosei","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0,3","Odontoceti","Lagenodelphis_hosei"
"37","Lagenorhynchus_acutus","Lagenorhynchus acutus","Leucopleurus acutus","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","5,3","Odontoceti","Lagenorhynchus_acutus"
"38","Lagenorhynchus_albirostris","Lagenorhynchus albirostris","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,2","Odontoceti","Lagenorhynchus_albirostris"
"39","Lagenorhynchus_australis","Lagenorhynchus australis","Sagmatias australis",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2, 2, 2, 0, 2","Odontoceti","Lagenorhynchus_australis"
"40","Lagenorhynchus_obliquidens","Lagenorhynchus obliquidens","Sagmatias obliquidens","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal/crepuscular in summer. diurnal in captivity ","5,4,3,2","Odontoceti","Lagenorhynchus_obliquidens"
"41","Lagenorhynchus_obscurus","Lagenorhynchus obscurus","Sagmatias obscurus",NA,NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (subpopulation in New zealand)","4,2,4,2,4,2,2","Odontoceti","Lagenorhynchus_obscurus"
"42","Lipotes_vexillifer","Lipotes vexillifer","Possibly extinct","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","3,5,5","Odontoceti","Lipotes_vexillifer"
"43","Lissodelphis_borealis","Lissodelphis borealis","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Lissodelphis_borealis"
"44","Lissodelphis_peronii","Lissodelphis peronii","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Lissodelphis_peronii"
"45","Megaptera_novaeangliae","Megaptera novaeangliae","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,4,3","Mysticeti","Megaptera_novaeangliae"
"46","Mesoplodon_bidens","Mesoplodon bidens","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,4","Odontoceti","Mesoplodon_bidens"
"47","Mesoplodon_densirostris","Mesoplodon densirostris","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,3,4,3,3","Odontoceti","Mesoplodon_densirostris"
"48","Mesoplodon_europaeus","Mesoplodon europaeus","Limited data","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3","Odontoceti","Mesoplodon_europaeus"
"49","Mesoplodon_ginkgodens","Mesoplodon ginkgodens","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 3","Odontoceti","Mesoplodon_ginkgodens"
"50","Mesoplodon_grayi","Mesoplodon grayi","Insufficient info",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","0.5","Odontoceti","Mesoplodon_grayi"
"52","Mesoplodon_stejnegeri","Mesoplodon stejnegeri","Limited data","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3","Odontoceti","Mesoplodon_stejnegeri"
"53","Monodon_monoceros","Monodon monoceros","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,4,4,3,4,4","Odontoceti","Monodon_monoceros"
"54","Neophocaena_asiaeorientalis","Neophocaena asiaeorientalis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,5,2,3","Odontoceti","Neophocaena_asiaeorientalis"
"55","Neophocaena_phocaenoides","Neophocaena phocaenoides","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3,3,3","Odontoceti","Neophocaena_phocaenoides"
"57","Orcaella_brevirostris","Orcaella brevirostris","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","2,2,3,3,2","Odontoceti","Orcaella_brevirostris"
"58","Orcaella_heinsohni","Orcaella heinsohni","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,2,0","Odontoceti","Orcaella_heinsohni"
"59","Orcinus_orca","Orcinus orca","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","4,3,3,4,4,3","Odontoceti","Orcinus_orca"
"60","Peponocephala_electra","Peponocephala electra","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,3,4","Odontoceti","Peponocephala_electra"
"61","Phocoena_phocoena","Phocoena phocoena","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal (muddy areas), diurnal (population)","3,3,4,3,3,4,3,3,4,3,3","Odontoceti","Phocoena_phocoena"
"62","Phocoena_sinus","Phocoena sinus","Limited data","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3","Odontoceti","Phocoena_sinus"
"63","Phocoena_spinipinnis","Phocoena spinipinnis","Limited data",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","1.5, 2, 0, 1.5, 2, 0.5","Odontoceti","Phocoena_spinipinnis"
"64","Phocoenoides_dalli","Phocoenoides dalli","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","2,3,3","Odontoceti","Phocoenoides_dalli"
"65","Physeter_macrocephalus","Physeter macrocephalus","Physeter macrocephalus","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal (subpopulation in Ogasawara and sites far from equator, temporal during winter)","3,4,3,4,4,3,3,3,3,3,4,3","Odontoceti","Physeter_macrocephalus"
"66","Platanista_gangetica","Platanista gangetica","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,2,2,3","Odontoceti","Platanista_gangetica"
"68","Pontoporia_blainvillei","Pontoporia blainvillei","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 3, 0, 3","Odontoceti","Pontoporia_blainvillei"
"69","Pseudorca_crassidens","Pseudorca crassidens","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","5,4, 4, 4","Odontoceti","Pseudorca_crassidens"
"70","Sotalia_fluviatilis","Sotalia fluviatilis","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,2,2,3","Odontoceti","Sotalia_fluviatilis"
"71","Sotalia_guianensis","Sotalia guianensis","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,2,2,2,2","Odontoceti","Sotalia_guianensis"
"72","Sousa_chinensis","Sousa chinensis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,3,3,2","Odontoceti","Sousa_chinensis"
"74","Sousa_teuszii","Sousa teuszii","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,3,2","Odontoceti","Sousa_teuszii"
"75","Stenella_attenuata","Stenella attenuata","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3,2","Odontoceti","Stenella_attenuata"
"76","Stenella_clymene","Stenella clymene","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Stenella_clymene"
"77","Stenella_coeruleoalba","Stenella coeruleoalba","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,3,3,3,0","Odontoceti","Stenella_coeruleoalba"
"78","Stenella_frontalis","Stenella frontalis","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,2","Odontoceti","Stenella_frontalis"
"79","Stenella_longirostris","Stenella longirostris","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,2, 4, 4, 2, 3","Odontoceti","Stenella_longirostris"
"80","Steno_bredanensis","Steno bredanensis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,2","Odontoceti","Steno_bredanensis"
"81","Tursiops_aduncus","Tursiops aduncus","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (population) *deep-diving off-shore ecotype, recently described, may be separate species https://doi.org/10.1111/jeb.13575*","3,2,5,2,3,4,2,3","Odontoceti","Tursiops_aduncus"
"82","Tursiops_truncatus","Tursiops truncatus","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (population) *deep-diving off-shore ecotype, recently described, may be separate species https://doi.org/10.1111/jeb.13575*","5,2,2,5,5,3,3,3,4,4,4","Odontoceti","Tursiops_truncatus"
"83","Ziphius_cavirostris","Ziphius cavirostris","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,4,4,3,4,3","Odontoceti","Ziphius_cavirostris"
"761","Hexaprotodon liberiensis","",NA,NA,"Nocturnal","Nocturnal","Nocturnal","","3","nocturnal","Choeropsis_liberiensis","Hexaprotodon liberiensis",""
"771","Hippopotamus amphibius","",NA,NA,"Nocturnal","Nocturnal/crepuscular","Crepuscular","","4","crepuscular","Hippopotamus_amphibius","Hippopotamus amphibius",""
